index;x;y;z
715;-0.571411;1.327530;0.028976
716;-0.358902;1.109116;0.012848
717;0.109634;0.906052;-0.024124
718;0.067993;0.785385;0.132614
719;-0.473038;0.490540;0.188690
720;-0.279266;0.266266;0.034363
721;-0.161453;0.410156;-0.273407
722;-0.679031;1.564270;-1.383102
723;-0.484680;0.908585;-0.909607
724;-0.749237;0.490524;-0.190781
725;-0.994797;2.221512;-0.496674
726;-0.180801;-0.003662;0.811707
727;-0.311447;1.236160;0.380478
728;0.226044;1.430557;0.090652
729;-0.194275;0.842407;-0.236618
730;-0.232254;0.823395;0.012222
731;-0.107056;0.946976;-0.094971
732;-0.079300;0.791168;0.171036
733;-0.137894;1.052719;-0.400864
734;0.000717;1.159790;0.072342
735;0.178589;1.142502;0.032791
736;-0.142487;1.379471;-0.238525
737;-0.096756;1.227066;-0.148621
738;-0.255936;1.251404;0.267685
739;-0.734314;1.494095;0.100388
740;-0.541489;1.057739;0.012543
741;-0.124969;0.812347;0.177338
742;0.266312;0.789749;-0.047958
743;-0.279663;0.534607;0.166931
744;-0.284897;0.300476;0.044922
745;-0.130920;0.483551;-0.265503
746;-0.523773;1.090485;-1.050369
747;-0.686096;1.254776;-1.519180
748;-0.404648;0.288025;-0.403198
749;-0.948349;2.192154;0.058746
750;-0.321625;-0.296341;0.844711
751;-0.174835;1.276535;0.751663
752;0.292526;1.469666;-0.024216
753;-0.229614;0.909973;-0.014175
754;-0.565811;0.646576;-0.134476
755;-0.104401;0.911774;0.005692
756;-0.076233;0.746094;0.060120
757;-0.250916;0.967606;-0.165314
758;0.071976;1.174210;-0.097351
759;0.050262;1.194611;-0.004669
760;-0.046249;1.469727;-0.137680
761;0.100937;1.311386;-0.120697
762;-0.290283;1.138824;-0.091553
763;-0.393570;1.108337;0.235748
764;-0.529984;1.329376;0.050186
765;-0.047623;1.098419;0.086563
766;0.058060;0.798630;0.044983
767;-0.294037;0.606842;0.126816
768;-0.368469;0.376938;0.252640
769;-0.255859;0.227737;-0.107910
